Textbox8,tbToday,Textbox2
Instrument Location Counts,Report Generated: 9/28/2012,Total Instruments (771)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LNode_PublicID,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,NodeType,LNode_NodeSequence,InstrumentCount
GS02HYPM-WF002,Southern Ocean Hybrid Profiler,02,HYPM,WF (Wire-Following Profiler),002,4
GS03FLMA-RI001,Southern Ocean Mesoscale Flanking Mooring A,03,FLMA,RI (Mooring Riser),001,16
GS03FLMB-RI001,Southern Ocean Mesoscale Flanking Mooring B,03,FLMB,RI (Mooring Riser),001,16
GS05MOAS-GL001,Southern Ocean Mobile Assets,05,MOAS,GL (Gliders),001,3
GS05MOAS-GL002,Southern Ocean Mobile Assets,05,MOAS,GL (Gliders),002,3
GS05MOAS-GL003,Southern Ocean Mobile Assets,05,MOAS,GL (Gliders),003,3
RS01SLBS-MJ01A,Slope Base,01,SLBS,MJ (MP Jbox),01A,4
RS01SBVM-PC01A,Slope Base Vertical Mooring,01,SBVM,PC (Platform Interface Controller),01A,8
RS01SBVM-LJ01A,Slope Base Vertical Mooring,01,SBVM,LJ (LP Jbox),01A,6
RS01SBVM-DP01A,Slope Base Vertical Mooring,01,SBVM,DP (Deep Profiler),01A,5
RS01SBVM-SF01A,Slope Base Vertical Mooring,01,SBVM,SF (Shallow Profiler Science Float),01A,10
RS01SUM1-LJ01B,Southern Hydrate Summit 1,01,SUM1,LJ (LP Jbox),01B,7
RS01SUM2-MJ01B,Southern Hydrate Summit 2,01,SUM2,MJ (MP Jbox),01B,5
RS03ASHS-MJ03B,Ashes,03,ASHS,MJ (MP Jbox),03B,4
RS03INT1-MJ03C,International District 1,03,INT1,MJ (MP Jbox),03C,2
RS03AXBS-MJ03A,Axial Base,03,AXBS,MJ (MP Jbox),03A,4
RS03AXVM-PC03A,Axial Mooring,03,AXVM,PC (Platform Interface Controller),03A,8
RS03AXVM-LJ03A,Axial Mooring,03,AXVM,LJ (LP Jbox),03A,6
RS03AXVM-DP03A,Axial Mooring,03,AXVM,DP (Deep Profiler),03A,5
