Textbox8,tbToday,Textbox2
Reference Designators,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,SubsiteName,SitePrefix,SiteSuffix,Textbox11,NodeSiteSequence,PortNumber,InstrumentClass,InstrumentSeries,InstrumentSequence,PortMinDepth,PortMaxDepth
CE04OSHY-SP01B-03-FLORTA104,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,03,FLORT,A,104,200,200
CE04OSHY-SP01B-05-PCO2WA102,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,05,PCO2W,A,102,200,200
CE04OSHY-SP01B-06-PARADA102,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SP (Surface-Piercing Profiler / Shallow Profiler),01B,06,PARAD,A,102,200,200
CE04OSSM-RI002-01-DOSTA0999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,01,DOSTA,0,999,5,5
CE04OSSM-RI002-02-VELPT0999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,02,VELPT,0,999,5,5
CE04OSSM-RI002-03-PHSEN0999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,03,PHSEN,0,999,5,5
CE04OSSM-RI002-05-CTDBP0999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,05,CTDBP,0,999,5,5
CE04OSSM-RI003-01-ADCPT0999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,01,ADCPT,0,999,5,5
CE04OSSM-RI003-02-OPTAA0999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,02,OPTAA,0,999,5,5
CE04OSSM-RI003-03-NUTNR0999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,03,NUTNR,0,999,5,5
CE04OSSM-RI003-04-SPKIR0999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,04,SPKIR,0,999,5,5
CE04OSSM-RI003-05-FLORT0999,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,05,FLORT,0,999,5,5
CE04OSSM-SB001-01-METBK0999,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,01,METBK,0,999,3,3
CE04OSSM-SB001-02-METBK0999,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,02,METBK,0,999,3,3
CE04OSSM-SB001-03-PCO2A0999,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,03,PCO2A,0,999,0,0
CE04OSSM-SB001-04-FDCHP0999,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,04,FDCHP,0,999,3,3
CE04OSSM-SB001-05-VELPT0999,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,05,VELPT,0,999,1,1
CE04OSSM-SB001-06-WAVSS0999,Endurance OR Offshore Surface Mooring,04,OSSM,SB (Surface Buoy),001,06,WAVSS,0,999,0,0
CE05MOAS-GL001-01-PARAD0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,01,PARAD,0,999,,
CE05MOAS-GL001-02-FLORT0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,02,FLORT,0,999,,
CE05MOAS-GL001-03-ADCPA0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,03,ADCPA,0,999,,
CE05MOAS-GL001-04-DOSTA0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,04,DOSTA,0,999,,
CE05MOAS-GL001-05-CTDGV0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),001,05,CTDGV,0,999,,
CE05MOAS-GL002-01-PARAD0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,01,PARAD,0,999,,
CE05MOAS-GL002-02-FLORT0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,02,FLORT,0,999,,
CE05MOAS-GL002-03-ADCPA0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,03,ADCPA,0,999,,
CE05MOAS-GL002-04-DOSTA0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,04,DOSTA,0,999,,
CE05MOAS-GL002-05-CTDGV0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),002,05,CTDGV,0,999,,
CE05MOAS-GL003-01-PARAD0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,01,PARAD,0,999,,
CE05MOAS-GL003-02-FLORT0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,02,FLORT,0,999,,
CE05MOAS-GL003-03-ADCPA0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,03,ADCPA,0,999,,
CE05MOAS-GL003-04-DOSTA0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,04,DOSTA,0,999,,
CE05MOAS-GL003-05-CTDGV0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),003,05,CTDGV,0,999,,
CE05MOAS-GL004-01-PARAD0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,01,PARAD,0,999,,
CE05MOAS-GL004-02-FLORT0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,02,FLORT,0,999,,
CE05MOAS-GL004-03-ADCPA0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,03,ADCPA,0,999,,
CE05MOAS-GL004-04-DOSTA0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,04,DOSTA,0,999,,
CE05MOAS-GL004-05-CTDGV0999,Endurance Mobile Assets,05,MOAS,GL (Gliders),004,05,CTDGV,0,999,,
