Textbox8,tbToday,Textbox2
All Instrument Location Counts,Report Generated: 3/9/2012,Total Instruments (761)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LocationCode,SiteName,SiteNumber,SiteCode,NodeType,Sequence,InstrumentCount
RS01HRVM-DP01A,Hydrate Mooring,01,HRVM,DP (Deep Profiler),01A,5
RS01HRVM-FJ01A,Hydrate Mooring,01,HRVM,FJ (200 m Platform),01A,8
RS01HRVM-LJ01A,Hydrate Mooring,01,HRVM,LJ (LP Jbox),01A,6
RS01HRVM-SP01A,Hydrate Mooring,01,HRVM,SP (Surface-Piercing Profiler / Shallow Profiler),01A,10
RS01SUM1-LJ01B,Southern Hydrate Summit 1,01,SUM1,LJ (LP Jbox),01B,7
RS01SUM2-MJ01B,Southern Hydrate Summit 2,01,SUM2,MJ (MP Jbox),01B,5
RS03ASHD-MJ03B,Ashes-Diffuse,03,ASHD,MJ (MP Jbox),03B,7
RS03ASHI-ID03A,Ashes-Inferno,03,ASHI,ID (IF box HD camera),03A,1
RS03ASHI-MJ03C,Ashes-Inferno,03,ASHI,MJ (MP Jbox),03C,2
RS03ASHS-MJ03D,Ashes-Seismic,03,ASHS,MJ (MP Jbox),03D,4
RS03AXBS-MJ03A,Axial Base,03,AXBS,MJ (MP Jbox),03A,4
RS03AXVM-DP03A,Axial Mooring,03,AXVM,DP (Deep Profiler),03A,5
RS03AXVM-FJ03A,Axial Mooring,03,AXVM,FJ (200 m Platform),03A,8
RS03AXVM-LJ03A,Axial Mooring,03,AXVM,LJ (LP Jbox),03A,6
RS03AXVM-SP03A,Axial Mooring,03,AXVM,SP (Surface-Piercing Profiler / Shallow Profiler),03A,10
RS03ECAL-MJ03E,Eastern Caldera,03,ECAL,MJ (MP Jbox),03E,4
RS03NCAL-MJ03F,Northern Caldera,03,NCAL,MJ (MP Jbox),03F,4

