__pk_jt_ScreenElement_InformationElement_ID,_fk_InformationElement_ID,_fk_ScreenElement_ID,Information Element Type
"2033519","2011938","2161582","Resource Attribute"
"2033521","2011973","2161584","Resource Attribute"
"2033526","2012104","2161589","Resource Attribute"
"2033527","2012122","2161590","Resource Attribute"
"2033528","2012140","2161591","Resource Attribute"
"2033530","2012176","2161593","Resource Attribute"
"2033531","2012194","2161594","Resource Attribute"
"2033532","2012212","2161595","Resource Attribute"
"2033533","2012230","2161596","Resource Attribute"
"2033534","2012248","2161597","Resource Attribute"
"2033535","2012266","2161598","Resource Attribute"
"2033571","2010305","2161634","Resource Attribute"
"2033575","2010298","2161638","Resource Attribute"
"2033576","2010251","2161639","Resource Attribute"
"2033578","2010253","2161641","Resource Attribute"
"2033580","2010252","2161643","Resource Attribute"
"2033954","2010302","2162017","Resource Attribute"
"2033955","2010303","2162018","Resource Attribute"
"2033963","2010056","2162026","Resource Attribute"
"2033986","2010218","2162049","Resource Attribute"
"2033992","2010662","2162055","Resource Attribute"
"2033994","2010241","2162057","Resource Attribute"
"2033995","2010289","2162058","Resource Attribute"
"2033998","2010103","2162061","Resource Attribute"
"2034006","2010677","2162069","Resource Attribute"
"2034017","2010660","2162080","Resource Attribute"
"2034022","2010067","2162085","Resource Attribute"
"2034023","2010379","2162086","Resource Attribute"
"2034028","2012832","2162091","Resource Attribute"
"2034029","2012833","2162092","Resource Attribute"
"2034038","2010035","2162101","Resource Attribute"
"2034056","2010208","2162119","Resource Attribute"
"2034060","2012838","2162123","Resource Attribute"
"2034061","2012843","2162124","Resource Attribute"
"2034062","2012844","2162125","Resource Attribute"
"2034070","2012852","2162133","Resource Attribute"
"2034071","2012853","2162134","Resource Attribute"
"2034073","2012855","2162136","Resource Attribute"
"2034074","2012856","2162137","Resource Attribute"
"2034075","2012857","2162138","Resource Attribute"
"2034076","2012858","2162139","Resource Attribute"
"2034077","2012859","2162140","Resource Attribute"
"2034079","2012861","2162142","Resource Attribute"
"2034080","2012862","2162143","Resource Attribute"
"2034085","2012867","2162148","Resource Attribute"
"2034086","2012868","2162149","Resource Attribute"
"2034087","2012869","2162150","Resource Attribute"
"2034089","2012871","2162152","Resource Attribute"
"2034093","2012875","2162156","Resource Attribute"
"2034095","2012877","2162158","Resource Attribute"
"2034098","2012880","2162161","Resource Attribute"
"2034103","2012885","2162166","Resource Attribute"
"2034105","2012887","2162168","Resource Attribute"
"2034106","2012888","2162169","Resource Attribute"
"2034111","2012893","2162174","Resource Attribute"
"2034113","2012895","2162176","Resource Attribute"
"2034114","2012896","2162177","Resource Attribute"
"2034115","2012897","2162178","Resource Attribute"
"2034116","2012898","2162179","Resource Attribute"
"2034118","2012900","2162181","Resource Attribute"
"2034129","2012911","2162192","Resource Attribute"
"2034130","2012912","2162193","Resource Attribute"
"2034131","2012913","2162194","Resource Attribute"
"2034132","2012914","2162195","Resource Attribute"
"2034134","2012921","2162197","Resource Attribute"
"2034135","2012926","2162198","Resource Attribute"
"2034136","2012932","2162199","Resource Attribute"
"2034137","2012938","2162200","Resource Attribute"
"2034138","2012944","2162201","Resource Attribute"
"2034151","2013065","2162214","Resource Attribute"
"2034152","2013073","2162215","Resource Attribute"
"2034153","2013075","2162216","Resource Attribute"
"2034154","2013076","2162217","Resource Attribute"
"2034155","2013078","2162218","Resource Attribute"
"2034156","2013080","2162219","Resource Attribute"
"2034163","2013095","2162226","Resource Attribute"
"2034164","2013097","2162227","Resource Attribute"
"2034165","2013099","2162228","Resource Attribute"
"2034166","2013101","2162229","Resource Attribute"
"2034167","2013104","2162230","Resource Attribute"
"2034168","2013107","2162231","Resource Attribute"
"2034182","2010031","2162245","Resource Attribute"
"2034183","2010601","2162246","Resource Attribute"
"2034206","2010771","2162269","Resource Attribute"
"2034212","2010886","2162275","Resource Attribute"
"2034213","2010904","2162276","Resource Attribute"
"2034214","2010922","2162277","Resource Attribute"
"2034215","2010940","2162278","Resource Attribute"
"2034217","2010974","2162280","Resource Attribute"
"2034218","2010991","2162281","Resource Attribute"
"2034219","2011009","2162282","Resource Attribute"
"2034220","2011027","2162283","Resource Attribute"
"2034221","2011045","2162284","Resource Attribute"
"2034226","2011130","2162289","Resource Attribute"
"2034227","2011147","2162290","Resource Attribute"
"2034232","2011236","2162295","Resource Attribute"
"2034233","2011253","2162296","Resource Attribute"
"2034235","2011286","2162298","Resource Attribute"
"2034238","2011339","2162301","Resource Attribute"
"2034240","2011375","2162303","Resource Attribute"
"2034242","2011411","2162305","Resource Attribute"
"2034247","2011501","2162310","Resource Attribute"
"2034252","2011591","2162315","Resource Attribute"
"2034254","2011627","2162317","Resource Attribute"
"2034256","2011663","2162319","Resource Attribute"
"2034264","2011825","2162327","Resource Attribute"
"2034266","2011861","2162329","Resource Attribute"
"2034271","2011974","2162334","Resource Attribute"
"2034277","2012105","2162340","Resource Attribute"
"2034278","2012123","2162341","Resource Attribute"
"2034279","2012141","2162342","Resource Attribute"
"2034281","2012177","2162344","Resource Attribute"
"2034282","2012195","2162345","Resource Attribute"
"2034283","2012213","2162346","Resource Attribute"
"2034284","2012231","2162347","Resource Attribute"
"2034285","2012249","2162348","Resource Attribute"
"2034286","2012267","2162349","Resource Attribute"
"2034324","2010667","2162387","Resource Attribute"
"2034334","2010019","2162397","Resource Attribute"
"2034335","2010089","2162398","Resource Attribute"
"2034337","2012831","2162400","Resource Attribute"
"2034339","2010102","2162402","Resource Attribute"
"2034362","2010057","2162425","Resource Attribute"
"2034379","2010655","2162442","Resource Attribute"
"2034386","2010005","2162449","Resource Attribute"
