__pk_ScreenElement_ID,_fk_Graphic_ID,_fk_HelpTag_ID,_fk_MessageString_ID,_fk_ScreenLabel_ID,_fk_State_ID,_fk_Widget_ID,Default Value,Description,Name
"2163045","","2291117","","2090108","","2130026","","list of engineering sensorsone pre line in table","Engineering Sensors [PlatfomDevice] (block)"
"2163046","","2290806","","2090552","","2130026","","","Identification [Org] (block)"
"2163047","","2290814","","2090027","","2130026","","","Location [Org] (block)"
"2163048","","2290801","","2090005","","2130026","","","Description [Org] (block)"
"2163049","","2290786","","2090095","","2130026","","","Contacts [Org] (block)"
"2163050","","2290844","","2090105","","2130026","","","Recent Events [Org] (block)"
"2163052","","2291010","","2090487","","2130034","","","Platforms (table)"
"2163053","","2291002","","2090441","","2130034","","list of data products for this observatoryone data product per table linedata process is the transform that created the data product on this line","Data Products (table)"
"2163057","","2290819","","2090489","","2130026","","","Asset Summary [Org] (block)"
"2163062","","2290928","","2090494","","2130026","","","Participants [Org] (block)"
"2163063","","2290866","","2090389","","2130026","","","Title Bar [PlatformDevice] (block)"
"2163064","","2290806","","2090552","","2130026","","","Identification [UserInfo] (block)"
"2163072","","2290780","","2090508","","2130026","","","Collection [Collection] (block)"
"2163074","","2290785","","2090459","","2130026","","","Contact Information [UserInfo] (block)"
"2163076","","2290762","","2090512","","2130026","","","About [UserInfo] (block)"
"2163078","","2290763","","2090778","","2130026","","","Account Settings [UserInfo] (block)"
"2163079","","2291017","","2090515","","2130034","","","Roles (table)"
"2163080","","2290836","","2090147","","2130026","","","Policies [User] (block)"
"2163081","","2290844","","2090105","","2130026","","","Recent Events [UserInfo] (block)"
"2163083","","2291014","","2090516","","2130034","","","Related Resources (table)"
"2163084","","2290824","","2090780","","2130026","","","Notification Methods [UserInfo] (block)"
"2163085","","2290841","","2090781","","2130026","","","Preferences [User] (block)"
"2163088","","2290806","","2090552","","2130026","","","Identification [DataProduct] (block)"
"2163089","","2290790","","2090553","","2130026","","","Data Bounds [DataProduct] (block)"
"2163090","","2290786","","2090095","","2130026","","","Contacts [DataProduct] (block)"
"2163091","","2290801","","2090005","","2130026","","","Description [DataProduct] (block)"
"2163092","","2290491","","2090475","","2130026","","","Acknowledgement [DataProduct] (block)"
"2163094","","2290813","","2090567","","2130026","","","License Information [DataProduct] (block)"
"2163095","","2290789","","2090097","","2130026","","display either cart or tabledefault widget: chartthis variable's values over time","Data [DataProduct] (block)"
"2163096","","2290844","","2090105","","2130026","","","Recent Events [DataProduct] (block)"
"2163098","","2290869","","2090732","","2130026","","","Variables Values [DataProduct] (block)"
"2163099","","2290806","","2090552","","2130026","","","Identification [Resource] (block)"
"2163100","","2290801","","2090005","","2130026","","","Description [Resource] (block)"
"2163102","","2290786","","2090095","","2130026","","","Contacts [InformationResource] (block)"
"2163103","","2290806","","2090552","","2130026","","","Identification [InformationResource] (block)"
"2163104","","2290801","","2090005","","2130026","","","Description [InformationResource] (block)"
"2163107","","2290836","","2090147","","2130026","","","Policies [Resource] (block)"
"2163108","","2290836","","2090147","","2130026","","","Policies [InformationResource] (block)"
"2163109","","2290844","","2090105","","2130026","","","Recent Events [Resource] (block)"
"2163110","","2290844","","2090105","","2130026","","","Recent Events [InformationResource] (block)"
"2163116","","2290791","","2090784","","2130026","","","Data Curation [DataProduct] (block)"
"2163117","","2290759","","2090473","","2130029","","","Download Information (attribute_group)"
"2163119","","2290793","","2090440","","2130026","","","Data Processes [DataProduct] (block)"
"2163121","","2290871","","2090423","","2130026","","","Versions [DataProduct] (block)"
"2163123","","2290911","","2090093","","2130025","","","Information (group)"
"2163124","","2290792","","2090104","","2130025","","","Data Information (group)"
"2163125","","2290954","","2090145","","2130025","","","Specifications (group)"
"2163126","","2290844","","2090105","","2130025","","","Recent Events (group)"
"2163128","","2290949","","2090026","","2130025","","","Sensors (group)"
"2163129","","2290909","","2090108","","2130025","","","Engineering Sensors (group)"
"2163132","","2290956","","2090385","","2130025","","","Status Overview (group)"
"2163133","","2290958","","2090389","","2130025","","","Title Bar (group)"
"2163134","","2290959","","2090423","","2130025","","","Versions (group)"
"2163135","","2290903","","2090441","","2130025","","","Data Products (group)"
"2163136","","2290901","","2090440","","2130025","","","Data Processes (group)"
"2163137","","2290839","","2090675","","2130026","","need list of power sources","Power Status Details [InstrumentDevice] (block)"
"2163143","","2290916","","2090491","","2130025","","","Instruments Not Deployed (group)"
"2163144","","2290932","","2090492","","2130025","","","Platforms Not Deployed (group)"
"2163145","","2290928","","2090494","","2130025","","","Participants (group)"
"2163148","","2290947","","2090516","","2130025","","","Resources (group)"
"2163151","","2290924","","2090557","","2130025","","","Other Information (group)"
"2163152","","2290878","","2090090","","2130024","","","Facepage (view)"
"2163153","","2291064","","2090867","","2130024","","","Status (view)"
"2163154","","2291063","","2090617","","2130024","","","Related (view)"
"2163155","","2290892","","2090389","","2130025","","","Callout Top Matter (group)"
"2163156","","2291061","","2090484","","2130024","","","Dashboard (view)"
"2163157","","2291060","","2090140","","2130024","","","Command (view)"
"2163158","","2291062","","2090485","","2130024","","","Direct Command (view)"
"2163164","","2290875","","2090389","","2130005","","","-View Controls BB"
"2163165","","2290875","","2090090","","2130013","","","-Facepage BBB"
