Textbox8,tbToday
Data Product Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Data_Product_Identifier,Data_Product_Name,Data_Product_Level,Attribute,AttributeValue
CONDSRF,Sea Surface Conductivity,1,Processing Flow Diagram DCN(s),DCN 1342-00360
CONDSRF,Sea Surface Conductivity,1,Regime(s),"Air-Sea Interface, Surface Water"
CONDSRF,Sea Surface Conductivity,1,Spike Test (SPKETST) QC,Applicable
CONDSRF,Sea Surface Conductivity,1,Stuck Value Test (STUCKVL) QC,Applicable
CONDSRF,Sea Surface Conductivity,1,Trend Test (TRNDTST) QC,Applicable
CONDSRF,Sea Surface Conductivity,1,Units,S/m
CONDWAT,Conductivity,0,Combine QC Flags (CMBNFLG) QC,not applicable
CONDWAT,Conductivity,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3045
CONDWAT,Conductivity,0,DOORS L2 Science Requirement Text,Conductivity
CONDWAT,Conductivity,0,DPS DCN(s),[DCN 1341-00030|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/d8318ad7-b189-4ff1-acd9-6acdd295f4f5/1341-00030_Data_Product_SPEC_CONDWAT_OOI.pdf]
CONDWAT,Conductivity,0,Global Range Test (GLBLRNG) QC,not applicable
CONDWAT,Conductivity,0,Gradient Test (GRADTST) QC,not applicable
CONDWAT,Conductivity,0,Local Range Test (LOCLRNG) QC,not applicable
CONDWAT,Conductivity,0,Notes,
CONDWAT,Conductivity,0,Processing Flow Diagram DCN(s),[DCN 1342-00010|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/a2d4b90f-145f-44f6-bf03-6e720d87893c/1342-00010_Data_Processing_Flow_CTD_OOI.pdf]
CONDWAT,Conductivity,0,Regime(s),Water Column
CONDWAT,Conductivity,0,Spike Test (SPKETST) QC,not applicable
CONDWAT,Conductivity,0,Stuck Value Test (STUCKVL) QC,not applicable
CONDWAT,Conductivity,0,Trend Test (TRNDTST) QC,not applicable
CONDWAT,Conductivity,0,Units,unitless
DENSITY,Density,2,Combine QC Flags (CMBNFLG) QC,not applicable
DENSITY,Density,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3065
DENSITY,Density,2,DOORS L2 Science Requirement Text,Density
DENSITY,Density,2,DPS DCN(s),[DCN 1341-00050|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/bafd6f75-4a29-457a-a243-a2b77d2ee1ec/1341-00050_Data_Product_SPEC_DENSITY_OOI.pdf]
DENSITY,Density,2,Global Range Test (GLBLRNG) QC,applicable
DENSITY,Density,2,Gradient Test (GRADTST) QC,applicable
DENSITY,Density,2,Local Range Test (LOCLRNG) QC,applicable
DENSITY,Density,2,Notes,
DENSITY,Density,2,Processing Flow Diagram DCN(s),[DCN 1342-00010|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/a2d4b90f-145f-44f6-bf03-6e720d87893c/1342-00010_Data_Processing_Flow_CTD_OOI.pdf]
DENSITY,Density,2,Regime(s),Water Column
DENSITY,Density,2,Spike Test (SPKETST) QC,applicable
DENSITY,Density,2,Stuck Value Test (STUCKVL) QC,applicable
DENSITY,Density,2,Trend Test (TRNDTST) QC,not applicable
DENSITY,Density,2,Units,kg/m^3
DNASAMP,16s rRNA sequence of filtered physical sample,2,Combine QC Flags (CMBNFLG) QC,not applicable
DNASAMP,16s rRNA sequence of filtered physical sample,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3850
DNASAMP,16s rRNA sequence of filtered physical sample,2,DOORS L2 Science Requirement Text,Interactive Sampling for Microbial Genetic Analyses
DNASAMP,16s rRNA sequence of filtered physical sample,2,DPS DCN(s),DCN 1341-00630
DNASAMP,16s rRNA sequence of filtered physical sample,2,Global Range Test (GLBLRNG) QC,not applicable
DNASAMP,16s rRNA sequence of filtered physical sample,2,Gradient Test (GRADTST) QC,not applicable
DNASAMP,16s rRNA sequence of filtered physical sample,2,Local Range Test (LOCLRNG) QC,not applicable
DNASAMP,16s rRNA sequence of filtered physical sample,2,Notes,
DNASAMP,16s rRNA sequence of filtered physical sample,2,Processing Flow Diagram DCN(s),n/a
DNASAMP,16s rRNA sequence of filtered physical sample,2,Regime(s),Seafloor/Crust
DNASAMP,16s rRNA sequence of filtered physical sample,2,Spike Test (SPKETST) QC,not applicable
DNASAMP,16s rRNA sequence of filtered physical sample,2,Stuck Value Test (STUCKVL) QC,not applicable
DNASAMP,16s rRNA sequence of filtered physical sample,2,Trend Test (TRNDTST) QC,not applicable
DNASAMP,16s rRNA sequence of filtered physical sample,2,Units,2 micron filter
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Combine QC Flags (CMBNFLG) QC,TBD
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,DOORS L2 Science Requirement #(s),L2-SR-RQ-3048
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,DOORS L2 Science Requirement Text,Dissolved Oxygen
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,DPS DCN(s),DCN 1341-00521
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Global Range Test (GLBLRNG) QC,TBD
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Gradient Test (GRADTST) QC,TBD
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Local Range Test (LOCLRNG) QC,TBD
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Notes,
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Processing Flow Diagram DCN(s),DCN 1342-00521
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Regime(s),Water Column
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Spike Test (SPKETST) QC,TBD
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Stuck Value Test (STUCKVL) QC,TBD
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Trend Test (TRNDTST) QC,TBD
DOCONCF,Oxygen Concentration from Fastrep DO Instrument,2,Units, µmol/kg
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Combine QC Flags (CMBNFLG) QC,not applicable
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,DOORS L2 Science Requirement #(s),L2-SR-RQ-3048
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,DOORS L2 Science Requirement Text,Dissolved Oxygen
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,DPS DCN(s),[DCN 1341-00520|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/97f4bfbb-b075-4b1d-993f-b1df24adf369/1341-00520_Data_Product_SPEC_DOCONCS_OOI.pdf]
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Global Range Test (GLBLRNG) QC,not applicable
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Gradient Test (GRADTST) QC,not applicable
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Local Range Test (LOCLRNG) QC,not applicable
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Notes,
DOCONCS,Oxygen Concentration from Stable DO Instrument,0,Processing Flow Diagram DCN(s),[DCN 1342-00520|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/047d2339-e8e3-44c8-b1b7-4b4a575016b9/1342-00520_Data_Processing_Flow_DOSTA_OOI.pdf]
