Textbox8,tbToday
Node Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Node,Node_Type,Node_Site_Sequence,Attribute,AttributeValue
CE07SHSM-MF005,MF,005,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-MF005,MF,005,Relative Depth,
CE07SHSM-RI002,RI,002,depth_port_max,
CE07SHSM-RI002,RI,002,depth_port_min,
CE07SHSM-RI002,RI,002,depth_subsite,87
CE07SHSM-RI002,RI,002,First Deployment Date,2014-10
CE07SHSM-RI002,RI,002,latitude,46.99
CE07SHSM-RI002,RI,002,longitude,124.57
CE07SHSM-RI002,RI,002,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI002,RI,002,Relative Depth,
CE07SHSM-RI003,RI,003,depth_port_max,
CE07SHSM-RI003,RI,003,depth_port_min,
CE07SHSM-RI003,RI,003,depth_subsite,87
CE07SHSM-RI003,RI,003,First Deployment Date,2014-10
CE07SHSM-RI003,RI,003,latitude,46.99
CE07SHSM-RI003,RI,003,longitude,124.57
CE07SHSM-RI003,RI,003,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-RI003,RI,003,Relative Depth,
CE07SHSM-SB001,SB,001,depth_port_max,
CE07SHSM-SB001,SB,001,depth_port_min,
CE07SHSM-SB001,SB,001,depth_subsite,87
CE07SHSM-SB001,SB,001,First Deployment Date,2014-10
CE07SHSM-SB001,SB,001,latitude,46.99
CE07SHSM-SB001,SB,001,longitude,124.57
CE07SHSM-SB001,SB,001,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE07SHSM-SB001,SB,001,Relative Depth,
CE07SHSP-SP001,SP,001,depth_port_max,
CE07SHSP-SP001,SP,001,depth_port_min,
CE07SHSP-SP001,SP,001,depth_subsite,87
CE07SHSP-SP001,SP,001,First Deployment Date,2014-10
CE07SHSP-SP001,SP,001,latitude,46.99
CE07SHSP-SP001,SP,001,longitude,124.57
CE07SHSP-SP001,SP,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE07SHSP-SP001,SP,001,Relative Depth,
CE09OSPM-WF001,WF,001,depth_port_max,
CE09OSPM-WF001,WF,001,depth_port_min,
CE09OSPM-WF001,WF,001,depth_subsite,542
CE09OSPM-WF001,WF,001,First Deployment Date,2014-04
CE09OSPM-WF001,WF,001,latitude,46.85
CE09OSPM-WF001,WF,001,longitude,124.97
CE09OSPM-WF001,WF,001,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE09OSPM-WF001,WF,001,Relative Depth,
CE09OSSM-MF004,MF,004,depth_port_max,
CE09OSSM-MF004,MF,004,depth_port_min,
CE09OSSM-MF004,MF,004,depth_subsite,542
CE09OSSM-MF004,MF,004,First Deployment Date,2014-10
CE09OSSM-MF004,MF,004,latitude,46.85
CE09OSSM-MF004,MF,004,longitude,124.97
CE09OSSM-MF004,MF,004,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-MF004,MF,004,Relative Depth,
CE09OSSM-MF005,MF,005,depth_port_max,
CE09OSSM-MF005,MF,005,depth_port_min,
CE09OSSM-MF005,MF,005,depth_subsite,542
CE09OSSM-MF005,MF,005,First Deployment Date,2014-10
CE09OSSM-MF005,MF,005,latitude,46.85
CE09OSSM-MF005,MF,005,longitude,124.97
CE09OSSM-MF005,MF,005,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE09OSSM-MF005,MF,005,Relative Depth,
