Textbox8,tbToday,Total_Count3
Instrument Table (Website) (Detailed),Report Generated: 4/28/2014,Total Instruments: 723

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LArray_PublicID,LSubsite_PublicID,LSubsite_Description,NodeType,SClass_PublicID,AlternateClassName,ClassDescription,MMInstrument_Manufacturer,MMInstrument_PublicID,Data_Product,Relative_Depth,Port_Min_Depth,Port_Max_Depth
CE02SHBP-MJ01C-07-ZPLSCB101,CE,CE02SHBP,Endurance OR Shelf Benthic Pkg,MJ(MP Jbox),ZPLSC,Bio-acoustic Sonar (Coastal),Measures acoustic signal of plankton and zooplankton on coastal arrays,Kongsberg,Modified EK-60,Multi-Frequency Acoustic Backscatter,"Mounted 2m above bottom, uplooking",78,78
CE02SHSM-RI002-01-DOSTAD999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,RI(Mooring Riser),DOSTA,Dissolved Oxygen Stable Response,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings",Aanderaa,Optode 4831,Oxygen Concentration from Stable DO Instrument; Oxygen Concentration from Stable DO Instrument ,5m below sea surface,5,5
CE02SHSM-RI002-02-VELPTA999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,RI(Mooring Riser),VELPT,Single Point Velocity Meter,Measures Mean U and V single point velocity,Nortek,Aquadopp 300m,Mean Point Water Velocity,5m below sea surface,5,5
CE02SHSM-RI002-03-PHSEND999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,RI(Mooring Riser),PHSEN,Seawater pH,pH,Sunburst,SAMI-pH,PHSEN Thermistor Temperature; Optical Absorbance Signal Intensity at 434nm; Optical Absorbance Signal Intensity at 578nm; pH,5m below sea surface,5,5
CE02SHSM-RI002-05-CTDBPC999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,RI(Mooring Riser),CTDBP,CTD Pumped,CTDs equiped with a bottom pump,Sea-Bird,SBE 16plusV2,Conductivity; Density; Practical Salinity; Pressure (Depth); Temperature,5m below sea surface,5,5
CE02SHSM-RI003-01-ADCPTA999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,RI(Mooring Riser),ADCPT,Velocity Profiler (short range),ADCPs capable of measuring 300 m or greater from the instrument,Teledyne RDI,WorkHorse Sentinel 600khz,Echo Intensity; Velocity Profile; Wave Spectral Properties ,"Mounted at 5m, downlooking",5,5
CE02SHSM-RI003-02-OPTAAD999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,RI(Mooring Riser),OPTAA,Absorption Spectrophotometer,Measures optical attenuation and absorption,WET Labs,AC-S,Optical Absorption Coefficient; Reference Absorption; Signal Absorption; Optical Beam Attenuation Coefficient; Reference Beam Attenuation; Signal Beam Attenuation; Temperature from OPTAA ,5m below sea surface,5,5
CE02SHSM-RI003-03-NUTNRB999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,RI(Mooring Riser),NUTNR,Nitrate,Optical Nitrate measurements (fast response and appropriate for profilers),Satlantic,ISUS,Nitrate Concentration,5m below sea surface,5,5
CE02SHSM-RI003-04-SPKIRB999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,RI(Mooring Riser),SPKIR,Spectral Irradiance,Measures downwelling spectral irradiance,Satlantic,OCR507 ICSW,Downwelling Spectral Irradiance ,5m below sea surface,5,5
CE02SHSM-RI003-05-FLORTD999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,RI(Mooring Riser),FLORT,3-Wavelength Fluorometer,"3-Wavelength Fluorometer for measurement of fluorescence, Chl-a, CDOM, optical backscatter",WET Labs,ECO Triplet-w,Fluorometric CDOM Concentration; Fluorometric Chlorophyll-a Concentration; Optical Backscatter (Red Wavelengths) ,5m below sea surface,5,5
CE02SHSM-SB001-01-METBKA999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,SB(Surface Buoy),METBK,Bulk Meteorology Instrument Package,"Measures surface meteorology and provides the data required to compute air-sea fluxes of heat, freshwater, and momentum",Star Engineering,ASIMET,Barometric Pressure; Sea Surface Conductivity; Freshwater Flux; Net Heat Flux; Latent Heat Flux; Downwelling Longwave Irradiance; Momentum Flux (Wind Stress) ; Net Longwave Irradiance ; Net Shortwave Irradiance ; Precipitation; Rain Heat Flux; Rain rate; Relative Humidity; Sea Surface Salinity ; Sensible Heat Flux ; Downwelling Shortwave Irradiance ; Specific Humidity,~3m above sea surface,-3,-3
CE02SHSM-SB001-03-PCO2AA999,CE,CE02SHSM,Endurance OR Shelf Surface Mooring,SB(Surface Buoy),PCO2A,pCO2 Air-Sea,Measures partial pressure of CO2 at the air-sea interface,Pro-Oceanus,pCO2-pro,Flux of CO2 from the Ocean into the Atmosphere; Partial Pressure of CO2 in Atmosphere; Partial Pressure of CO2 in Surface Sea Water; PCO2A Gas Stream Pressure; CO2 Mole Fraction in Atmosphere; CO2 Mole Fraction in Surface Sea Water ,Sea Surface,0,0
