Textbox8,tbToday
Port Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Port,Attribute,AttributeValue
CE02SHBP-LJ01D-11,depth_port_max,78
CE02SHBP-LJ01D-11,depth_port_min,78
CE02SHBP-LJ01D-11,depth_subsite,80
CE02SHBP-LJ01D-11,First Deployment Date,2014-07
CE02SHBP-LJ01D-11,latitude,44.64
CE02SHBP-LJ01D-11,longitude,124.31
CE02SHBP-LJ01D-11,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-11,Relative Depth,2m above bottom
CE02SHBP-LJ01D-12,depth_port_max,78
CE02SHBP-LJ01D-12,depth_port_min,78
CE02SHBP-LJ01D-12,depth_subsite,80
CE02SHBP-LJ01D-12,First Deployment Date,2014-07
CE02SHBP-LJ01D-12,latitude,44.64
CE02SHBP-LJ01D-12,longitude,124.31
CE02SHBP-LJ01D-12,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-12,Relative Depth,2m above bottom
CE02SHBP-MJ01C-07,depth_port_max,78
CE02SHBP-MJ01C-07,depth_port_min,78
CE02SHBP-MJ01C-07,depth_subsite,80
CE02SHBP-MJ01C-07,First Deployment Date,2014-07
CE02SHBP-MJ01C-07,latitude,44.64
CE02SHBP-MJ01C-07,longitude,124.31
CE02SHBP-MJ01C-07,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-MJ01C-07,Relative Depth,"Mounted 2m above bottom, uplooking"
CE02SHSM-RI002-01,depth_port_max,5
CE02SHSM-RI002-01,depth_port_min,5
CE02SHSM-RI002-01,depth_subsite,80
CE02SHSM-RI002-01,First Deployment Date,2014-10
CE02SHSM-RI002-01,latitude,44.64
CE02SHSM-RI002-01,longitude,124.31
CE02SHSM-RI002-01,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI002-01,Relative Depth,5m below sea surface
CE02SHSM-RI002-02,depth_port_max,5
CE02SHSM-RI002-02,depth_port_min,5
CE02SHSM-RI002-02,depth_subsite,80
CE02SHSM-RI002-02,First Deployment Date,2014-10
CE02SHSM-RI002-02,latitude,44.64
CE02SHSM-RI002-02,longitude,124.31
CE02SHSM-RI002-02,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI002-02,Relative Depth,5m below sea surface
CE02SHSM-RI002-03,depth_port_max,5
CE02SHSM-RI002-03,depth_port_min,5
CE02SHSM-RI002-03,depth_subsite,80
CE02SHSM-RI002-03,First Deployment Date,2014-10
CE02SHSM-RI002-03,latitude,44.64
CE02SHSM-RI002-03,longitude,124.31
CE02SHSM-RI002-03,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI002-03,Relative Depth,5m below sea surface
CE02SHSM-RI002-05,depth_port_max,5
CE02SHSM-RI002-05,depth_port_min,5
CE02SHSM-RI002-05,depth_subsite,80
CE02SHSM-RI002-05,First Deployment Date,2014-10
CE02SHSM-RI002-05,latitude,44.64
CE02SHSM-RI002-05,longitude,124.31
CE02SHSM-RI002-05,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI002-05,Relative Depth,5m below sea surface
CE02SHSM-RI003-01,depth_port_max,5
CE02SHSM-RI003-01,depth_port_min,5
CE02SHSM-RI003-01,depth_subsite,80
CE02SHSM-RI003-01,First Deployment Date,2014-10
CE02SHSM-RI003-01,latitude,44.64
CE02SHSM-RI003-01,longitude,124.31
CE02SHSM-RI003-01,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI003-01,Relative Depth,"Mounted at 5m, downlooking"
CE02SHSM-RI003-02,depth_port_max,5
CE02SHSM-RI003-02,depth_port_min,5
CE02SHSM-RI003-02,depth_subsite,80
CE02SHSM-RI003-02,First Deployment Date,2014-10
CE02SHSM-RI003-02,latitude,44.64
CE02SHSM-RI003-02,longitude,124.31
CE02SHSM-RI003-02,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI003-02,Relative Depth,5m below sea surface
CE02SHSM-RI003-03,depth_port_max,5
CE02SHSM-RI003-03,depth_port_min,5
CE02SHSM-RI003-03,depth_subsite,80
CE02SHSM-RI003-03,First Deployment Date,2014-10
CE02SHSM-RI003-03,latitude,44.64
CE02SHSM-RI003-03,longitude,124.31
CE02SHSM-RI003-03,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI003-03,Relative Depth,5m below sea surface
CE02SHSM-RI003-04,depth_port_max,5
CE02SHSM-RI003-04,depth_port_min,5
CE02SHSM-RI003-04,depth_subsite,80
CE02SHSM-RI003-04,First Deployment Date,2014-10
