Textbox8,tbToday
Class Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Class_Name,Attribute,AttributeValue
DOSTA,Oxygen dissolved stable,Alternate Instrument Class Name,Dissolved Oxygen Stable Response
DOSTA,Oxygen dissolved stable,CE Spares,
DOSTA,Oxygen dissolved stable,CGSN MREFC Spares,
DOSTA,Oxygen dissolved stable,CGSN O&M Spares,
DOSTA,Oxygen dissolved stable,CGSN P/N,
DOSTA,Oxygen dissolved stable,ClassLongName,oxygen_dissolved_stable
DOSTA,Oxygen dissolved stable,Comments,
DOSTA,Oxygen dissolved stable,CP Spares,
DOSTA,Oxygen dissolved stable,Description,"Measures dissolved oxygen concentrations on mobile assets, deep profilers, and moorings"
DOSTA,Oxygen dissolved stable,ECRs that changed the count,"ECR 1303-00796, ECR 1303-00928"
DOSTA,Oxygen dissolved stable,Global Spares,
DOSTA,Oxygen dissolved stable,Instrument Configuration,
DOSTA,Oxygen dissolved stable,Link to the Specification,
DOSTA,Oxygen dissolved stable,Notes,
DOSTA,Oxygen dissolved stable,PrimaryScienceDiscipline,C
DOSTA,Oxygen dissolved stable,Produces Acoustic Interference,
DOSTA,Oxygen dissolved stable,Ready for 2013?,
DOSTA,Oxygen dissolved stable,RSN O&M Spares,
DOSTA,Oxygen dissolved stable,RSN Part Number,
DOSTA,Oxygen dissolved stable,Susceptible to Acoustic Interference,
DOSTA,Oxygen dissolved stable,"Vendor CLIN, SubCLIN or Model #",
FDCHP,Flux direct covariance,2009 Baseline Price*,"$55,900.00"
FDCHP,Flux direct covariance,2009 Deployed Instrument Count,7
FDCHP,Flux direct covariance,Alternate Instrument Class Name,Direct Covariance Flux
FDCHP,Flux direct covariance,CE Spares,
FDCHP,Flux direct covariance,CGSN MREFC Spares,
FDCHP,Flux direct covariance,CGSN O&M Spares,
FDCHP,Flux direct covariance,CGSN P/N,
FDCHP,Flux direct covariance,ClassLongName,flux_direct_cov_HP
FDCHP,Flux direct covariance,Comments,
FDCHP,Flux direct covariance,CP Spares,
FDCHP,Flux direct covariance,Description,Measures vertical fluxes associated with eddies in the flow over the ocean
FDCHP,Flux direct covariance,ECRs that changed the count,1300-00318 & 1303-00996
FDCHP,Flux direct covariance,Global Spares,
FDCHP,Flux direct covariance,Instrument Configuration,
FDCHP,Flux direct covariance,Link to the Specification,
FDCHP,Flux direct covariance,Notes,
FDCHP,Flux direct covariance,PrimaryScienceDiscipline,P
FDCHP,Flux direct covariance,Produces Acoustic Interference,
FDCHP,Flux direct covariance,Ready for 2013?,No.  Waiver 1303-00996
FDCHP,Flux direct covariance,RSN O&M Spares,
FDCHP,Flux direct covariance,RSN Part Number,
FDCHP,Flux direct covariance,Susceptible to Acoustic Interference,
FDCHP,Flux direct covariance,"Vendor CLIN, SubCLIN or Model #",
FDCLP,Flux direct cov LP - DEPRECATED,2009 Baseline Price*,"$30,000.00"
FDCLP,Flux direct cov LP - DEPRECATED,2009 Deployed Instrument Count,3
FDCLP,Flux direct cov LP - DEPRECATED,Alternate Instrument Class Name,Direct Covariance Flux (Low Power) - DEPRECATED
FDCLP,Flux direct cov LP - DEPRECATED,CE Spares,
FDCLP,Flux direct cov LP - DEPRECATED,CGSN MREFC Spares,
FDCLP,Flux direct cov LP - DEPRECATED,CGSN O&M Spares,
FDCLP,Flux direct cov LP - DEPRECATED,CGSN P/N,
