Textbox8,tbToday
Reference Designator Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Reference_Designator,Class,Attribute,AttributeValue
CE01ISSP-SP001-08-FLORTJ999,FLORT,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-08-FLORTJ999,FLORT,Relative Depth,Sea surface to 2m above bottom
CE01ISSP-SP001-09-CTDPFJ999,CTDPF,depth_port_max,23
CE01ISSP-SP001-09-CTDPFJ999,CTDPF,depth_port_min,0
CE01ISSP-SP001-09-CTDPFJ999,CTDPF,depth_subsite,24.3
CE01ISSP-SP001-09-CTDPFJ999,CTDPF,First Deployment Date,2014-10
CE01ISSP-SP001-09-CTDPFJ999,CTDPF,latitude,44.66
CE01ISSP-SP001-09-CTDPFJ999,CTDPF,longitude,124.1
CE01ISSP-SP001-09-CTDPFJ999,CTDPF,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-09-CTDPFJ999,CTDPF,Relative Depth,Sea surface to 2m above bottom
CE01ISSP-SP001-10-PARADJ999,PARAD,depth_port_max,23
CE01ISSP-SP001-10-PARADJ999,PARAD,depth_port_min,0
CE01ISSP-SP001-10-PARADJ999,PARAD,depth_subsite,24.3
CE01ISSP-SP001-10-PARADJ999,PARAD,First Deployment Date,2014-10
CE01ISSP-SP001-10-PARADJ999,PARAD,latitude,44.66
CE01ISSP-SP001-10-PARADJ999,PARAD,longitude,124.1
CE01ISSP-SP001-10-PARADJ999,PARAD,Platform Agent Type,Shore CyberPoP - Coastal Mooring Server
CE01ISSP-SP001-10-PARADJ999,PARAD,Relative Depth,Sea surface to 2m above bottom
CE02SHBP-LJ01D-05-ADCPTB104,ADCPT,depth_port_max,78
CE02SHBP-LJ01D-05-ADCPTB104,ADCPT,depth_port_min,78
CE02SHBP-LJ01D-05-ADCPTB104,ADCPT,depth_subsite,80
CE02SHBP-LJ01D-05-ADCPTB104,ADCPT,First Deployment Date,2014-07
CE02SHBP-LJ01D-05-ADCPTB104,ADCPT,latitude,44.64
CE02SHBP-LJ01D-05-ADCPTB104,ADCPT,longitude,124.31
CE02SHBP-LJ01D-05-ADCPTB104,ADCPT,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-05-ADCPTB104,ADCPT,Relative Depth,"Mounted 2m above bottom, uplooking"
CE02SHBP-LJ01D-06-CTDBPN106,CTDBP,depth_port_max,78
CE02SHBP-LJ01D-06-CTDBPN106,CTDBP,depth_port_min,78
CE02SHBP-LJ01D-06-CTDBPN106,CTDBP,depth_subsite,80
CE02SHBP-LJ01D-06-CTDBPN106,CTDBP,First Deployment Date,2014-07
CE02SHBP-LJ01D-06-CTDBPN106,CTDBP,latitude,44.64
CE02SHBP-LJ01D-06-CTDBPN106,CTDBP,longitude,124.31
CE02SHBP-LJ01D-06-CTDBPN106,CTDBP,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-06-CTDBPN106,CTDBP,Relative Depth,2m above bottom
CE02SHBP-LJ01D-06-DOSTAD106,DOSTA,depth_port_max,78
CE02SHBP-LJ01D-06-DOSTAD106,DOSTA,depth_port_min,78
CE02SHBP-LJ01D-06-DOSTAD106,DOSTA,depth_subsite,80
CE02SHBP-LJ01D-06-DOSTAD106,DOSTA,First Deployment Date,2014-07
CE02SHBP-LJ01D-06-DOSTAD106,DOSTA,latitude,44.64
CE02SHBP-LJ01D-06-DOSTAD106,DOSTA,longitude,124.31
CE02SHBP-LJ01D-06-DOSTAD106,DOSTA,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-06-DOSTAD106,DOSTA,Relative Depth,2m above bottom
CE02SHBP-LJ01D-07-VEL3DC108,VEL3D,depth_port_max,78
CE02SHBP-LJ01D-07-VEL3DC108,VEL3D,depth_port_min,78
CE02SHBP-LJ01D-07-VEL3DC108,VEL3D,depth_subsite,80
CE02SHBP-LJ01D-07-VEL3DC108,VEL3D,First Deployment Date,2014-07
CE02SHBP-LJ01D-07-VEL3DC108,VEL3D,latitude,44.64
CE02SHBP-LJ01D-07-VEL3DC108,VEL3D,longitude,124.31
CE02SHBP-LJ01D-07-VEL3DC108,VEL3D,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-07-VEL3DC108,VEL3D,Relative Depth,2m above bottom
CE02SHBP-LJ01D-08-OPTAAD106,OPTAA,depth_port_max,78
CE02SHBP-LJ01D-08-OPTAAD106,OPTAA,depth_port_min,78
CE02SHBP-LJ01D-08-OPTAAD106,OPTAA,depth_subsite,80
CE02SHBP-LJ01D-08-OPTAAD106,OPTAA,First Deployment Date,2014-07
CE02SHBP-LJ01D-08-OPTAAD106,OPTAA,latitude,44.64
CE02SHBP-LJ01D-08-OPTAAD106,OPTAA,longitude,124.31
CE02SHBP-LJ01D-08-OPTAAD106,OPTAA,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-08-OPTAAD106,OPTAA,Relative Depth,2m above bottom
CE02SHBP-LJ01D-09-PCO2WB103,PCO2W,depth_port_max,78
CE02SHBP-LJ01D-09-PCO2WB103,PCO2W,depth_port_min,78
CE02SHBP-LJ01D-09-PCO2WB103,PCO2W,depth_subsite,80
CE02SHBP-LJ01D-09-PCO2WB103,PCO2W,First Deployment Date,2014-07
CE02SHBP-LJ01D-09-PCO2WB103,PCO2W,latitude,44.64
CE02SHBP-LJ01D-09-PCO2WB103,PCO2W,longitude,124.31
CE02SHBP-LJ01D-09-PCO2WB103,PCO2W,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-09-PCO2WB103,PCO2W,Relative Depth,2m above bottom
CE02SHBP-LJ01D-10-PHSEND103,PHSEN,depth_port_max,78
CE02SHBP-LJ01D-10-PHSEND103,PHSEN,depth_port_min,78
CE02SHBP-LJ01D-10-PHSEND103,PHSEN,depth_subsite,80
CE02SHBP-LJ01D-10-PHSEND103,PHSEN,First Deployment Date,2014-07
CE02SHBP-LJ01D-10-PHSEND103,PHSEN,latitude,44.64
CE02SHBP-LJ01D-10-PHSEND103,PHSEN,longitude,124.31
CE02SHBP-LJ01D-10-PHSEND103,PHSEN,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-10-PHSEND103,PHSEN,Relative Depth,2m above bottom
CE02SHBP-LJ01D-11-HYDBBA106,HYDBB,depth_port_max,78
CE02SHBP-LJ01D-11-HYDBBA106,HYDBB,depth_port_min,78
CE02SHBP-LJ01D-11-HYDBBA106,HYDBB,depth_subsite,80
CE02SHBP-LJ01D-11-HYDBBA106,HYDBB,First Deployment Date,2014-07
CE02SHBP-LJ01D-11-HYDBBA106,HYDBB,latitude,44.64
CE02SHBP-LJ01D-11-HYDBBA106,HYDBB,longitude,124.31
CE02SHBP-LJ01D-11-HYDBBA106,HYDBB,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-11-HYDBBA106,HYDBB,Relative Depth,2m above bottom
CE02SHBP-LJ01D-12-CAMDSB107,CAMDS,depth_port_max,78
CE02SHBP-LJ01D-12-CAMDSB107,CAMDS,depth_port_min,78
CE02SHBP-LJ01D-12-CAMDSB107,CAMDS,depth_subsite,80
CE02SHBP-LJ01D-12-CAMDSB107,CAMDS,First Deployment Date,2014-07
CE02SHBP-LJ01D-12-CAMDSB107,CAMDS,latitude,44.64
CE02SHBP-LJ01D-12-CAMDSB107,CAMDS,longitude,124.31
CE02SHBP-LJ01D-12-CAMDSB107,CAMDS,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-LJ01D-12-CAMDSB107,CAMDS,Relative Depth,2m above bottom
CE02SHBP-MJ01C-07-ZPLSCB101,ZPLSC,depth_port_max,78
CE02SHBP-MJ01C-07-ZPLSCB101,ZPLSC,depth_port_min,78
CE02SHBP-MJ01C-07-ZPLSCB101,ZPLSC,depth_subsite,80
CE02SHBP-MJ01C-07-ZPLSCB101,ZPLSC,First Deployment Date,2014-07
CE02SHBP-MJ01C-07-ZPLSCB101,ZPLSC,latitude,44.64
CE02SHBP-MJ01C-07-ZPLSCB101,ZPLSC,longitude,124.31
CE02SHBP-MJ01C-07-ZPLSCB101,ZPLSC,Platform Agent Type,Shore CyberPoP - Regional Observatory Management System
CE02SHBP-MJ01C-07-ZPLSCB101,ZPLSC,Relative Depth,"Mounted 2m above bottom, uplooking"
CE02SHSM-RI002-01-DOSTAD999,DOSTA,depth_port_max,5
CE02SHSM-RI002-01-DOSTAD999,DOSTA,depth_port_min,5
CE02SHSM-RI002-01-DOSTAD999,DOSTA,depth_subsite,80
CE02SHSM-RI002-01-DOSTAD999,DOSTA,First Deployment Date,2014-10
CE02SHSM-RI002-01-DOSTAD999,DOSTA,latitude,44.64
CE02SHSM-RI002-01-DOSTAD999,DOSTA,longitude,124.31
CE02SHSM-RI002-01-DOSTAD999,DOSTA,Platform Agent Type,InSitu CyberPoP - Surface Mooring Platform Controller
CE02SHSM-RI002-01-DOSTAD999,DOSTA,Relative Depth,5m below sea surface
