Textbox8,tbToday
Family Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Family,Family_Name,Attribute,AttributeValue
MET,Meteorology,Alternate Instrument Class Name,
MET,Meteorology,CE Spares,
MET,Meteorology,CGSN MREFC Spares,
MET,Meteorology,CGSN O&M Spares,
MET,Meteorology,CGSN P/N,
MET,Meteorology,ClassLongName,
MET,Meteorology,Comments,
MET,Meteorology,CP Spares,
MET,Meteorology,Description,
MET,Meteorology,ECRs that changed the count,
MET,Meteorology,Global Spares,
MET,Meteorology,Instrument Configuration,
MET,Meteorology,Link to the Specification,
MET,Meteorology,Notes,
MET,Meteorology,PrimaryScienceDiscipline,
MET,Meteorology,Produces Acoustic Interference,
MET,Meteorology,Ready for 2013?,
MET,Meteorology,RSN O&M Spares,
MET,Meteorology,RSN Part Number,
MET,Meteorology,Susceptible to Acoustic Interference,
MET,Meteorology,"Vendor CLIN, SubCLIN or Model #",
MSP,Mass Spectrometer,2009 Baseline Price*,
MSP,Mass Spectrometer,2009 Deployed Instrument Count,
MSP,Mass Spectrometer,Alternate Instrument Class Name,
MSP,Mass Spectrometer,CE Spares,
MSP,Mass Spectrometer,CGSN MREFC Spares,
MSP,Mass Spectrometer,CGSN O&M Spares,
MSP,Mass Spectrometer,CGSN P/N,
MSP,Mass Spectrometer,ClassLongName,
MSP,Mass Spectrometer,Comments,
MSP,Mass Spectrometer,CP Spares,
MSP,Mass Spectrometer,Description,
MSP,Mass Spectrometer,ECRs that changed the count,
MSP,Mass Spectrometer,Global Spares,
MSP,Mass Spectrometer,Instrument Configuration,
MSP,Mass Spectrometer,Link to the Specification,
MSP,Mass Spectrometer,Notes,
MSP,Mass Spectrometer,PrimaryScienceDiscipline,
MSP,Mass Spectrometer,Produces Acoustic Interference,
MSP,Mass Spectrometer,Ready for 2013?,
MSP,Mass Spectrometer,RSN O&M Spares,
MSP,Mass Spectrometer,RSN Part Number,
MSP,Mass Spectrometer,Susceptible to Acoustic Interference,
MSP,Mass Spectrometer,"Vendor CLIN, SubCLIN or Model #",
NIT,Nitrate,2009 Baseline Price*,
NIT,Nitrate,2009 Deployed Instrument Count,
NIT,Nitrate,Alternate Instrument Class Name,
NIT,Nitrate,CE Spares,
NIT,Nitrate,CGSN MREFC Spares,
NIT,Nitrate,CGSN O&M Spares,
NIT,Nitrate,CGSN P/N,
NIT,Nitrate,ClassLongName,
NIT,Nitrate,Comments,
NIT,Nitrate,CP Spares,
NIT,Nitrate,Description,
NIT,Nitrate,ECRs that changed the count,
NIT,Nitrate,Global Spares,
NIT,Nitrate,Instrument Configuration,
NIT,Nitrate,Link to the Specification,
NIT,Nitrate,Notes,
NIT,Nitrate,PrimaryScienceDiscipline,
NIT,Nitrate,Produces Acoustic Interference,
NIT,Nitrate,Ready for 2013?,
NIT,Nitrate,RSN O&M Spares,
NIT,Nitrate,RSN Part Number,
NIT,Nitrate,Susceptible to Acoustic Interference,
NIT,Nitrate,"Vendor CLIN, SubCLIN or Model #",
NUT,Nutrients,2009 Baseline Price*,
NUT,Nutrients,2009 Deployed Instrument Count,
NUT,Nutrients,Alternate Instrument Class Name,
NUT,Nutrients,CE Spares,
NUT,Nutrients,CGSN MREFC Spares,
NUT,Nutrients,CGSN O&M Spares,
NUT,Nutrients,CGSN P/N,
NUT,Nutrients,ClassLongName,
NUT,Nutrients,Comments,
NUT,Nutrients,CP Spares,
NUT,Nutrients,Description,
NUT,Nutrients,ECRs that changed the count,
NUT,Nutrients,Global Spares,
NUT,Nutrients,Instrument Configuration,
NUT,Nutrients,Link to the Specification,
NUT,Nutrients,Notes,
NUT,Nutrients,PrimaryScienceDiscipline,
NUT,Nutrients,Produces Acoustic Interference,
NUT,Nutrients,Ready for 2013?,
NUT,Nutrients,RSN O&M Spares,
NUT,Nutrients,RSN Part Number,
NUT,Nutrients,Susceptible to Acoustic Interference,
NUT,Nutrients,"Vendor CLIN, SubCLIN or Model #",
OBS,Ocean Bottom Seismometer,2009 Baseline Price*,
OBS,Ocean Bottom Seismometer,2009 Deployed Instrument Count,
OBS,Ocean Bottom Seismometer,Alternate Instrument Class Name,
OBS,Ocean Bottom Seismometer,CE Spares,
OBS,Ocean Bottom Seismometer,CGSN MREFC Spares,
OBS,Ocean Bottom Seismometer,CGSN O&M Spares,
