Textbox8,tbToday,Textbox2
Instrument Catalog (Full Location Detail),Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

ReferenceDesignator,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,Textbox11,LNode_NodeSequence,LPort_PortNumber,SClass_PublicID,SSeries_PublicID,LSlot_InstrumentSequence,SSubseries_PublicID,SSubseries_Description,MMInstrument_Manufacturer,MMInstrument_PublicID,MMInstrument_Description,First_Deployment_Date,Platform_Agent_Type,Ready_For_2013_,Susceptible_to_Acoustic_Interference,Produces_Acoustic_Interference
RS03ECAL-MJ03E-06-BOTPTA302,Eastern Caldera,03,ECAL,MJ (MP Jbox),03E,06,BOTPT,A,302,01,BOTPT Series A Sub 01,non-commercial,non-commercial BOTPT,non-commercial BOTPT,2014-07,Shore CyberPoP - Regional Observatory Management System,,,
CE01ISSM-MF005-05-CAMDSA999,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),005,05,CAMDS,A,999,01,CAMDS Series A Sub 01,Kongsberg,Modified OE14-408,Modified OE14-408,2014-04,Shore CyberPoP - Coastal Mooring Server,No. Waiver 1303-00956.,,
CE06ISSM-MF005-05-CAMDSA999,Endurance WA Inshore Surface Mooring,06,ISSM,MF (Multi-Function Node),005,05,CAMDS,A,999,01,CAMDS Series A Sub 01,Kongsberg,Modified OE14-408,Modified OE14-408,2014-10,Shore CyberPoP - Coastal Mooring Server,No. Waiver 1303-00956.,,
CE07SHSM-MF005-02-CAMDSA999,Endurance WA Shelf Surface Mooring,07,SHSM,MF (Multi-Function Node),005,02,CAMDS,A,999,01,CAMDS Series A Sub 01,Kongsberg,Modified OE14-408,Modified OE14-408,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,No. Waiver 1303-00956.,,
CE09OSSM-MF005-03-CAMDSA999,Endurance WA Offshore Surface Mooring,09,OSSM,MF (Multi-Function Node),005,03,CAMDS,A,999,01,CAMDS Series A Sub 01,Kongsberg,Modified OE14-408,Modified OE14-408,2014-10,InSitu CyberPoP - Surface Mooring Platform Controller,No. Waiver 1303-00956.,,
CE02SHBP-LJ01D-12-CAMDSB107,Endurance OR Shelf Benthic Pkg,02,SHBP,LJ (LP Jbox),01D,12,CAMDS,B,107,01,CAMDS Series B Sub 01,Kongsberg,Modified OE14-408,Modified OE14-408,2014-07,Shore CyberPoP - Regional Observatory Management System,Maybe,,
CE04OSBP-LJ01C-12-CAMDSB106,Endurance OR Offshore Benthic Pkg,04,OSBP,LJ (LP Jbox),01C,12,CAMDS,B,106,01,CAMDS Series B Sub 01,Kongsberg,Modified OE14-408,Modified OE14-408,2014-07,Shore CyberPoP - Regional Observatory Management System,Maybe,,
RS01SUM2-MJ01B-05-CAMDSB103,Southern Hydrate Summit 2,01,SUM2,MJ (MP Jbox),01B,05,CAMDS,B,103,01,CAMDS Series B Sub 01,Kongsberg,Modified OE14-408,Modified OE14-408,2014-07,Shore CyberPoP - Regional Observatory Management System,Maybe,,
RS03INT1-MJ03C-05-CAMDSB303,International District 1,03,INT1,MJ (MP Jbox),03C,05,CAMDS,B,303,01,CAMDS Series B Sub 01,Kongsberg,Modified OE14-408,Modified OE14-408,2014-07,Shore CyberPoP - Regional Observatory Management System,Maybe,,
RS03ASHS-ID03A-06-CAMHDA301,Ashes,03,ASHS,ID (IF box HD camera),03A,06,CAMHD,A,301,01,CAMHD Series A Sub 01,SubC,1Cam,1Cam,2014-07,Shore CyberPoP - Regional Observatory Management System,,,
CP05MOAS-AV001-03-CTDAVN999,Pioneer Mobile Assets,05,MOAS,AV (AUV),001,03,CTDAV,N,999,01,CTDAV Series N Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD),2013-11,,,,
CP05MOAS-AV002-03-CTDAVN999,Pioneer Mobile Assets,05,MOAS,AV (AUV),002,03,CTDAV,N,999,01,CTDAV Series N Sub 01,Sea-Bird,SBE Glider Payload CTD (GP-CTD),SBE Glider Payload CTD (GP-CTD),2013-11,,,,
CE01ISSM-RI003-01-CTDBPC999,Endurance OR Inshore Surface Mooring,01,ISSM,RI (Mooring Riser),003,01,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-04,Shore CyberPoP - Coastal Mooring Server,,,
CE01ISSM-MF005-01-CTDBPC999,Endurance OR Inshore Surface Mooring,01,ISSM,MF (Multi-Function Node),005,01,CTDBP,C,999,01,CTDBP Series C Sub 01,Sea-Bird,SBE 16plusV2,SBE 16plusV2,2014-04,Shore CyberPoP - Coastal Mooring Server,,,
