Textbox8,tbToday
Series Attributes Report,Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

Class,Series,Series_Name,Attribute,AttributeValue
ADCPT,G,ADCPT Series G,ClassLongName,Velocity_Profile_Short_Range
ADCPT,G,ADCPT Series G,Comments,
ADCPT,G,ADCPT Series G,CP Spares,
ADCPT,G,ADCPT Series G,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,G,ADCPT Series G,ECRs that changed the count,
ADCPT,G,ADCPT Series G,Global Spares,
ADCPT,G,ADCPT Series G,Instrument Configuration,
ADCPT,G,ADCPT Series G,Link to the Specification,
ADCPT,G,ADCPT Series G,Notes,
ADCPT,G,ADCPT Series G,PrimaryScienceDiscipline,P
ADCPT,G,ADCPT Series G,Produces Acoustic Interference,
ADCPT,G,ADCPT Series G,Ready for 2013?,
ADCPT,G,ADCPT Series G,RSN O&M Spares,
ADCPT,G,ADCPT Series G,RSN Part Number,
ADCPT,G,ADCPT Series G,Susceptible to Acoustic Interference,Yes
ADCPT,G,ADCPT Series G,"Vendor CLIN, SubCLIN or Model #",
ADCPT,M,ADCPT Series M,2009 Baseline Price*,"$38,625.00"
ADCPT,M,ADCPT Series M,2009 Deployed Instrument Count,18
ADCPT,M,ADCPT Series M,Alternate Instrument Class Name,Velocity Profiler (short range)
ADCPT,M,ADCPT Series M,CE Spares,
ADCPT,M,ADCPT Series M,CGSN MREFC Spares,
ADCPT,M,ADCPT Series M,CGSN O&M Spares,
ADCPT,M,ADCPT Series M,CGSN P/N,
ADCPT,M,ADCPT Series M,ClassLongName,Velocity_Profile_Short_Range
ADCPT,M,ADCPT Series M,Comments,
ADCPT,M,ADCPT Series M,CP Spares,
ADCPT,M,ADCPT Series M,Description,ADCPs capable of measuring 300 m or greater from the instrument
ADCPT,M,ADCPT Series M,ECRs that changed the count,
ADCPT,M,ADCPT Series M,Global Spares,
ADCPT,M,ADCPT Series M,Instrument Configuration,
ADCPT,M,ADCPT Series M,Link to the Specification,
ADCPT,M,ADCPT Series M,Notes,
