Textbox8,tbToday
Data QC Lookup Tables (With DP Levels),Report Generated: 4/28/2014

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LArray_PublicID,SClass_PublicID,ReferenceDesignator,Data_Product_With_Level
CE,HYDBB,CE02SHBP-LJ01D-11-HYDBBA106,HYDFRBB (L0)
CE,HYDBB,CE02SHBP-LJ01D-11-HYDBBA106,HYDFRBB (L1)
CE,CAMDS,CE02SHBP-LJ01D-12-CAMDSB107,CAMSTIL (L1)
CE,ZPLSC,CE02SHBP-MJ01C-07-ZPLSCB101,SONBSCA (L0)
CE,ZPLSC,CE02SHBP-MJ01C-07-ZPLSCB101,SONBSCA (L1)
CE,DOSTA,CE02SHSM-RI002-01-DOSTAD999,DOCONCS (L0)
CE,DOSTA,CE02SHSM-RI002-01-DOSTAD999,DOXYGEN (L2)
CE,DOSTA,CE02SHSM-RI002-01-DOSTAD999,DOCONCS (L1)
CE,VELPT,CE02SHSM-RI002-02-VELPTA999,VELPTMN (L1)
CE,VELPT,CE02SHSM-RI002-02-VELPTA999,VELPTMN (L0)
CE,PHSEN,CE02SHSM-RI002-03-PHSEND999,ABSTHRM (L0)
CE,PHSEN,CE02SHSM-RI002-03-PHSEND999,PH434SI (L0)
CE,PHSEN,CE02SHSM-RI002-03-PHSEND999,PH578SI (L0)
CE,PHSEN,CE02SHSM-RI002-03-PHSEND999,PHWATER (L1)
CE,CTDBP,CE02SHSM-RI002-05-CTDBPC999,CONDWAT (L0)
CE,CTDBP,CE02SHSM-RI002-05-CTDBPC999,CONDWAT (L1)
CE,CTDBP,CE02SHSM-RI002-05-CTDBPC999,DENSITY (L2)
CE,CTDBP,CE02SHSM-RI002-05-CTDBPC999,PRACSAL (L2)
CE,CTDBP,CE02SHSM-RI002-05-CTDBPC999,PRESWAT (L0)
CE,CTDBP,CE02SHSM-RI002-05-CTDBPC999,PRESWAT (L1)
CE,CTDBP,CE02SHSM-RI002-05-CTDBPC999,TEMPWAT (L0)
CE,CTDBP,CE02SHSM-RI002-05-CTDBPC999,TEMPWAT (L1)
CE,ADCPT,CE02SHSM-RI003-01-ADCPTA999,ECHOINT (L0)
CE,ADCPT,CE02SHSM-RI003-01-ADCPTA999,ECHOINT (L1)
CE,ADCPT,CE02SHSM-RI003-01-ADCPTA999,VELPROF (L0)
CE,ADCPT,CE02SHSM-RI003-01-ADCPTA999,VELPROF (L1)
CE,ADCPT,CE02SHSM-RI003-01-ADCPTA999,WAVSTAT (L0)
CE,ADCPT,CE02SHSM-RI003-01-ADCPTA999,WAVSTAT (L2)
CE,OPTAA,CE02SHSM-RI003-02-OPTAAD999,OPTABSN (L2)
CE,OPTAA,CE02SHSM-RI003-02-OPTAAD999,OPTATTN (L2)
CE,OPTAA,CE02SHSM-RI003-02-OPTAAD999,OPTCREF (L0)
CE,OPTAA,CE02SHSM-RI003-02-OPTAAD999,OPTCSIG (L0)
CE,OPTAA,CE02SHSM-RI003-02-OPTAAD999,OPTTEMP (L0)
CE,OPTAA,CE02SHSM-RI003-02-OPTAAD999,OPTAREF (L0)
CE,OPTAA,CE02SHSM-RI003-02-OPTAAD999,OPTASIG (L0)
CE,NUTNR,CE02SHSM-RI003-03-NUTNRB999,NITROPT (L1)
CE,SPKIR,CE02SHSM-RI003-04-SPKIRB999,SPECTIR (L0)
CE,SPKIR,CE02SHSM-RI003-04-SPKIRB999,SPECTIR (L1)
CE,FLORT,CE02SHSM-RI003-05-FLORTD999,CDOMFLO (L0)
CE,FLORT,CE02SHSM-RI003-05-FLORTD999,CDOMFLO (L1)
CE,FLORT,CE02SHSM-RI003-05-FLORTD999,CHLAFLO (L0)
CE,FLORT,CE02SHSM-RI003-05-FLORTD999,CHLAFLO (L1)
CE,FLORT,CE02SHSM-RI003-05-FLORTD999,FLUBSCT (L0)
CE,FLORT,CE02SHSM-RI003-05-FLORTD999,FLUBSCT (L1)
CE,METBK,CE02SHSM-SB001-01-METBKA999,BARPRES (L0)
CE,METBK,CE02SHSM-SB001-01-METBKA999,BARPRES (L1)
CE,METBK,CE02SHSM-SB001-01-METBKA999,CONDSRF (L1)
CE,METBK,CE02SHSM-SB001-01-METBKA999,LONGIRR (L1)
CE,METBK,CE02SHSM-SB001-01-METBKA999,PRECIPM (L1)
CE,METBK,CE02SHSM-SB001-01-METBKA999,RELHUMI (L1)
CE,METBK,CE02SHSM-SB001-01-METBKA999,SPHUM2M (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,NETLIRR  (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,SENSFLX  (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,RAINFLX (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,HEATFLX  (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,FRSHFLX  (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,MOMMFLX (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,LATNFLX  (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,SALSURF (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,WIND10M (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,TEMPA2M (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,RAINRTE (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,NETSIRR  (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,SHRTIRR (L1)
CE,METBK,CE02SHSM-SB001-01-METBKA999,SPECHUM (L2)
CE,METBK,CE02SHSM-SB001-01-METBKA999,TEMPAIR (L1)
CE,METBK,CE02SHSM-SB001-01-METBKA999,TEMPSRF (L1)
CE,METBK,CE02SHSM-SB001-01-METBKA999,WINDAVG (L0)
CE,METBK,CE02SHSM-SB001-01-METBKA999,WINDAVG (L1)
CE,PCO2A,CE02SHSM-SB001-03-PCO2AA999,CO2FLUX (L2)
CE,PCO2A,CE02SHSM-SB001-03-PCO2AA999,PCO2ATM (L1)
CE,PCO2A,CE02SHSM-SB001-03-PCO2AA999,PCO2SSW (L1)
CE,PCO2A,CE02SHSM-SB001-03-PCO2AA999,PRESAIR (L0)
CE,PCO2A,CE02SHSM-SB001-03-PCO2AA999,XCO2ATM (L0)
CE,PCO2A,CE02SHSM-SB001-03-PCO2AA999,XCO2SSW (L0)
CE,FDCHP,CE02SHSM-SB001-04-FDCHPA999,FLUXHOT (L2)
CE,FDCHP,CE02SHSM-SB001-04-FDCHPA999,FLUXMOM (L2)
CE,FDCHP,CE02SHSM-SB001-04-FDCHPA999,MOTFLUX (L0)
CE,FDCHP,CE02SHSM-SB001-04-FDCHPA999,TMPATUR (L0)
CE,FDCHP,CE02SHSM-SB001-04-FDCHPA999,TMPATUR (L1)
CE,FDCHP,CE02SHSM-SB001-04-FDCHPA999,WINDTUR (L0)
CE,FDCHP,CE02SHSM-SB001-04-FDCHPA999,WINDTUR (L1)
CE,VELPT,CE02SHSM-SB001-05-VELPTA999,VELPTMN (L1)
CE,VELPT,CE02SHSM-SB001-05-VELPTA999,VELPTMN (L0)
CE,WAVSS,CE02SHSM-SB001-06-WAVSSA999,WAVSTAT (L0)
CE,WAVSS,CE02SHSM-SB001-06-WAVSSA999,WAVSTAT (L2)
CE,CTDPF,CE02SHSP-SP001-01-CTDPFJ999,CONDWAT (L0)
CE,CTDPF,CE02SHSP-SP001-01-CTDPFJ999,CONDWAT (L1)
CE,CTDPF,CE02SHSP-SP001-01-CTDPFJ999,DENSITY (L2)
CE,CTDPF,CE02SHSP-SP001-01-CTDPFJ999,PRACSAL (L2)
CE,CTDPF,CE02SHSP-SP001-01-CTDPFJ999,PRESWAT (L0)
CE,CTDPF,CE02SHSP-SP001-01-CTDPFJ999,PRESWAT (L1)
CE,CTDPF,CE02SHSP-SP001-01-CTDPFJ999,TEMPWAT (L0)
CE,CTDPF,CE02SHSP-SP001-01-CTDPFJ999,TEMPWAT (L1)
CE,DOSTA,CE02SHSP-SP001-01-DOSTAJ999,DOCONCS (L0)
CE,DOSTA,CE02SHSP-SP001-01-DOSTAJ999,DOXYGEN (L2)
CE,DOSTA,CE02SHSP-SP001-01-DOSTAJ999,DOCONCS (L1)
CE,VELPT,CE02SHSP-SP001-02-VELPTJ999,VELPTMN (L1)
CE,VELPT,CE02SHSP-SP001-02-VELPTJ999,VELPTMN (L0)
CE,OPTAA,CE02SHSP-SP001-04-OPTAAJ999,OPTABSN (L2)
CE,OPTAA,CE02SHSP-SP001-04-OPTAAJ999,OPTATTN (L2)
CE,OPTAA,CE02SHSP-SP001-04-OPTAAJ999,OPTCREF (L0)
CE,OPTAA,CE02SHSP-SP001-04-OPTAAJ999,OPTCSIG (L0)
CE,OPTAA,CE02SHSP-SP001-04-OPTAAJ999,OPTTEMP (L0)
CE,OPTAA,CE02SHSP-SP001-04-OPTAAJ999,OPTAREF (L0)
CE,OPTAA,CE02SHSP-SP001-04-OPTAAJ999,OPTASIG (L0)
CE,NUTNR,CE02SHSP-SP001-05-NUTNRJ999,NITROPT (L1)
CE,SPKIR,CE02SHSP-SP001-06-SPKIRJ999,SPECTIR (L0)
CE,SPKIR,CE02SHSP-SP001-06-SPKIRJ999,SPECTIR (L1)
CE,FLORT,CE02SHSP-SP001-07-FLORTJ999,CDOMFLO (L0)
CE,FLORT,CE02SHSP-SP001-07-FLORTJ999,CDOMFLO (L1)
CE,FLORT,CE02SHSP-SP001-07-FLORTJ999,CHLAFLO (L0)
CE,FLORT,CE02SHSP-SP001-07-FLORTJ999,CHLAFLO (L1)
CE,FLORT,CE02SHSP-SP001-07-FLORTJ999,FLUBSCT (L0)
CE,FLORT,CE02SHSP-SP001-07-FLORTJ999,FLUBSCT (L1)
CE,PARAD,CE02SHSP-SP001-08-PARADJ999,OPTPARW (L0)
CE,PARAD,CE02SHSP-SP001-08-PARADJ999,OPTPARW (L1)
CE,ADCPS,CE04OSBP-LJ01C-05-ADCPSI103,ECHOINT (L0)
CE,ADCPS,CE04OSBP-LJ01C-05-ADCPSI103,ECHOINT (L1)
CE,ADCPS,CE04OSBP-LJ01C-05-ADCPSI103,VELPROF (L0)
CE,ADCPS,CE04OSBP-LJ01C-05-ADCPSI103,VELPROF (L1)
CE,CTDBP,CE04OSBP-LJ01C-06-CTDBPO108,CONDWAT (L0)
CE,CTDBP,CE04OSBP-LJ01C-06-CTDBPO108,CONDWAT (L1)
CE,CTDBP,CE04OSBP-LJ01C-06-CTDBPO108,DENSITY (L2)
CE,CTDBP,CE04OSBP-LJ01C-06-CTDBPO108,PRACSAL (L2)
CE,CTDBP,CE04OSBP-LJ01C-06-CTDBPO108,PRESWAT (L0)
CE,CTDBP,CE04OSBP-LJ01C-06-CTDBPO108,PRESWAT (L1)
CE,CTDBP,CE04OSBP-LJ01C-06-CTDBPO108,TEMPWAT (L0)
CE,CTDBP,CE04OSBP-LJ01C-06-CTDBPO108,TEMPWAT (L1)
CE,DOSTA,CE04OSBP-LJ01C-06-DOSTAD108,DOCONCS (L0)
CE,DOSTA,CE04OSBP-LJ01C-06-DOSTAD108,DOXYGEN (L2)
CE,DOSTA,CE04OSBP-LJ01C-06-DOSTAD108,DOCONCS (L1)
CE,VEL3D,CE04OSBP-LJ01C-07-VEL3DC107,VELPTMN (L0)
CE,VEL3D,CE04OSBP-LJ01C-07-VEL3DC107,VELPTMN (L1)
CE,VEL3D,CE04OSBP-LJ01C-07-VEL3DC107,VELPTTU (L0)
CE,VEL3D,CE04OSBP-LJ01C-07-VEL3DC107,VELPTTU (L1)
CE,OPTAA,CE04OSBP-LJ01C-08-OPTAAC104,OPTABSN (L2)
CE,OPTAA,CE04OSBP-LJ01C-08-OPTAAC104,OPTATTN (L2)
CE,OPTAA,CE04OSBP-LJ01C-08-OPTAAC104,OPTCREF (L0)
CE,OPTAA,CE04OSBP-LJ01C-08-OPTAAC104,OPTCSIG (L0)
CE,OPTAA,CE04OSBP-LJ01C-08-OPTAAC104,OPTTEMP (L0)
CE,OPTAA,CE04OSBP-LJ01C-08-OPTAAC104,OPTAREF (L0)
CE,OPTAA,CE04OSBP-LJ01C-08-OPTAAC104,OPTASIG (L0)
