Textbox8,tbToday,Textbox2
Instrument Classes By Location,Report Generated: 4/28/2014,Total Instruments (723)

Textbox14


Count
"Total Active, Retired, Draft, Rejected Risks: 0"

LNode_PublicID,LSubsite_Description,LSite_Prefix,LSubsite_SiteSuffix,NodeTypeName,LNode_NodeSequence,SClass_Description,SClass_PublicID,SSeries_PublicID,SSubseries_PublicID,MMInstrument_Manufacturer,MMInstrument_PublicID,SensorCount
CE04OSHY-DP01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,DP (Deep Profiler),01B,CTD Profiler,CTDPF,L,01,Sea-Bird,SBE 52MP,1
CE04OSHY-PC01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,PC (Platform Interface Controller),01B,CTD Profiler,CTDPF,A,01,Sea-Bird,SBE 16plusV2,1
CE04OSHY-PC01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,PC (Platform Interface Controller),01B,Oxygen dissolved stable,DOSTA,D,01,Aanderaa,Optode 4831,1
CE04OSHY-PC01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,PC (Platform Interface Controller),01B,pCO2 water,PCO2W,A,01,Sunburst,SAMI-pCO2,1
CE04OSHY-PC01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,PC (Platform Interface Controller),01B,Plankton ZP sonar coastal,ZPLSC,B,01,Kongsberg,Modified EK-60,1
CE04OSHY-PC01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,PC (Platform Interface Controller),01B,pH stable,PHSEN,A,01,Sunburst,SAMI-pH,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,CTD Profiler,CTDPF,A,01,Sea-Bird,SBE 16plusV2,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,Oxygen dissolved fastresp,DOFST,A,01,Sea-Bird,SBE 43,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,Fluorometer three wavelength,FLORT,D,01,WET Labs,ECO Triplet-w,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,Nutrient nitrate,NUTNR,A,01,Satlantic,Deep SUNA,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,pCO2 water,PCO2W,A,01,Sunburst,SAMI-pCO2,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,spectral irradiance,SPKIR,A,01,Satlantic,OCR507 ICSW,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,Velocity point,VELPT,D,01,Nortek,Aquadopp,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,Attenuation absorption optical,OPTAA,D,01,WET Labs,AC-S,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,pH stable,PHSEN,A,01,Sunburst,SAMI-pH,1
CE04OSHY-SF01B,Endurance OR Offshore Hybrid Profiler Mooring,04,OSHY,SF (Shallow Profiler Science Float),01B,PAR,PARAD,A,01,Satlantic,digital PAR,1
CE04OSSM-RI002,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,CTD Bottom Pumped,CTDBP,C,01,Sea-Bird,SBE 16plusV2,1
CE04OSSM-RI002,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,Oxygen dissolved stable,DOSTA,D,01,Aanderaa,Optode 4831,1
CE04OSSM-RI002,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,Velocity point,VELPT,A,01,Nortek,Aquadopp 300m,1
CE04OSSM-RI002,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),002,pH stable,PHSEN,D,01,Sunburst,SAMI-pH,1
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,Fluorometer three wavelength,FLORT,D,01,WET Labs,ECO Triplet-w,1
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,spectral irradiance,SPKIR,B,01,Satlantic,OCR507 ICSW,1
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,Attenuation absorption optical,OPTAA,D,01,WET Labs,AC-S,1
CE04OSSM-RI003,Endurance OR Offshore Surface Mooring,04,OSSM,RI (Mooring Riser),003,Velocity profile Short Range,ADCPT,C,01,Teledyne RDI,WorkHorse Sentinel 300khz,1
